Category: All categories

Region,Java: (8/13/19 - 8/13/20)
Washington,100
Virginia,99
California,88
Massachusetts,85
New Jersey,76
District of Columbia,72
Maryland,64
New York,63
Minnesota,57
Oregon,57
Iowa,56
Utah,54
Illinois,53
Georgia,51
Texas,51
Colorado,50
New Hampshire,49
Delaware,48
North Carolina,48
Connecticut,47
Missouri,46
Pennsylvania,45
Arizona,45
Arkansas,45
Rhode Island,44
Wisconsin,42
Nebraska,41
Vermont,39
Michigan,37
Ohio,37
Idaho,33
Kansas,31
Indiana,31
Florida,30
Maine,29
New Mexico,28
Tennessee,26
Hawaii,25
West Virginia,25
South Carolina,25
Montana,24
Oklahoma,24
Alabama,24
Kentucky,22
North Dakota,21
Nevada,21
Louisiana,20
Alaska,20
Wyoming,17
Mississippi,17
South Dakota,16
